,Year,Month,Discharge
0,1929,12,467.0
1,1930,1,495.0
2,1930,2,650.0
3,1930,3,781.0
4,1930,4,1030.0
5,1930,5,1340.0
6,1930,6,1310.0
7,1930,7,693.0
8,1930,8,378.0
9,1930,9,412.0
10,1930,10,482.0
11,1930,11,462.0
12,1930,12,468.0
13,1931,1,440.0
14,1931,2,554.0
15,1931,3,997.0
16,1931,4,1050.0
17,1931,5,1540.0
18,1931,6,1730.0
19,1931,7,1080.0
20,1931,8,648.0
21,1931,9,504.0
22,1931,10,491.0
23,1931,11,526.0
24,1931,12,445.0
25,1932,1,434.0
26,1932,2,623.0
27,1932,3,797.0
28,1932,4,846.0
29,1932,5,1220.0
30,1932,6,767.0
31,1932,7,484.0
32,1932,8,311.0
33,1932,9,359.0
34,1932,10,408.0
35,1932,11,347.0
36,1932,12,322.0
37,1933,1,381.0
38,1933,2,542.0
39,1933,3,745.0
40,1933,4,993.0
41,1933,5,1110.0
42,1933,6,761.0
43,1933,7,465.0
44,1933,8,371.0
45,1933,9,326.0
46,1933,10,365.0
47,1933,11,380.0
48,1933,12,375.0
49,1934,1,502.0
50,1934,2,599.0
51,1934,3,812.0
52,1934,4,1220.0
53,1934,5,2240.0
54,1934,6,1870.0
55,1934,7,1080.0
56,1934,8,583.0
57,1934,9,582.0
58,1934,10,580.0
59,1934,11,498.0
60,1934,12,337.0
61,1935,1,532.0
62,1935,2,640.0
63,1935,3,696.0
64,1935,4,1190.0
65,1935,5,1350.0
66,1935,6,1180.0
67,1935,7,705.0
68,1935,8,443.0
69,1935,9,464.0
70,1935,10,572.0
71,1935,11,584.0
72,1935,12,
73,1936,1,
74,1936,2,545.774
75,1936,3,870.3
76,1936,4,1360.258
77,1936,5,2177.333
78,1936,6,1015.226
79,1936,7,667.903
80,1936,8,525.333
81,1936,9,545.032
82,1936,10,
83,1936,11,
84,1936,12,
85,1937,1,513.679
86,1937,2,546.677
87,1937,3,591.9
88,1937,4,986.516
89,1937,5,1111.167
90,1937,6,958.258
91,1937,7,521.161
92,1937,8,321.1
93,1937,9,367.774
94,1937,10,
95,1937,11,
96,1937,12,
97,1938,1,
98,1938,2,
99,1938,3,657.667
100,1938,4,800.71
101,1938,5,553.867
102,1938,6,339.581
103,1938,7,319.355
104,1938,8,249.667
105,1938,9,308.516
106,1938,10,360.885
107,1938,11,
108,1938,12,
109,1939,1,
110,1939,2,390.129
111,1939,3,497.5
112,1939,4,956.645
113,1939,5,670.8
114,1939,6,509.71
115,1939,7,359.774
116,1939,8,279.567
117,1939,9,274.419
118,1939,10,368.833
119,1939,11,395.0
120,1939,12,368.935
121,1940,1,385.034
122,1940,2,420.194
123,1940,3,402.933
124,1940,4,385.516
125,1940,5,1086.2
126,1940,6,722.129
127,1940,7,349.806
128,1940,8,211.5
129,1940,9,268.355
130,1940,10,448.2
131,1940,11,433.065
132,1940,12,
133,1941,1,459.0
134,1941,2,567.71
135,1941,3,917.8
136,1941,4,1344.839
137,1941,5,1518.533
138,1941,6,668.774
139,1941,7,295.548
140,1941,8,251.133
141,1941,9,284.226
142,1941,10,351.2
143,1941,11,479.29
144,1941,12,481.581
145,1942,1,498.071
146,1942,2,619.806
147,1942,3,1032.2
148,1942,4,1469.677
149,1942,5,1693.333
150,1942,6,1528.871
151,1942,7,552.806
152,1942,8,352.7
153,1942,9,369.452
154,1942,10,493.533
155,1942,11,602.71
156,1942,12,
157,1943,1,
158,1943,2,695.087
159,1943,3,877.8
160,1943,4,985.161
161,1943,5,1140.2
162,1943,6,996.323
163,1943,7,462.645
164,1943,8,301.6
165,1943,9,339.194
166,1943,10,538.7
167,1943,11,542.273
168,1943,12,558.0
169,1944,1,567.034
170,1944,2,553.581
171,1944,3,401.833
172,1944,4,656.968
173,1944,5,598.533
174,1944,6,777.839
175,1944,7,427.839
176,1944,8,323.433
177,1944,9,404.645
178,1944,10,573.633
179,1944,11,
180,1944,12,
181,1945,1,
182,1945,2,
183,1945,3,
184,1945,4,
185,1945,5,
186,1945,6,
187,1945,7,
188,1945,8,
189,1945,9,
190,1945,10,
191,1945,11,
192,1945,12,
193,1946,1,
194,1946,2,
195,1946,3,
196,1946,4,
197,1946,5,
198,1946,6,
199,1946,7,
200,1946,8,
201,1946,9,
202,1946,10,
203,1946,11,
204,1946,12,
205,1947,1,
206,1947,2,
207,1947,3,504.5
208,1947,4,473.581
209,1947,5,725.3
210,1947,6,492.161
211,1947,7,351.516
212,1947,8,243.867
213,1947,9,379.323
214,1947,10,554.1
215,1947,11,
216,1947,12,
217,1948,1,
218,1948,2,513.516
219,1948,3,670.3
220,1948,4,1037.452
221,1948,5,865.1
222,1948,6,985.194
223,1948,7,586.742
224,1948,8,392.367
225,1948,9,452.548
226,1948,10,495.5
227,1948,11,
228,1948,12,436.871
229,1949,1,658.536
230,1949,2,627.935
231,1949,3,1146.467
232,1949,4,1522.258
233,1949,5,1599.667
234,1949,6,1349.452
235,1949,7,643.677
236,1949,8,551.467
237,1949,9,553.097
238,1949,10,637.167
239,1949,11,547.419
240,1949,12,528.032
241,1950,1,577.571
242,1950,2,661.581
243,1950,3,477.067
244,1950,4,646.226
245,1950,5,806.9
246,1950,6,573.968
247,1950,7,290.194
248,1950,8,263.033
249,1950,9,389.871
250,1950,10,439.267
251,1950,11,434.226
252,1950,12,524.226
253,1951,1,469.714
254,1951,2,661.194
255,1951,3,742.767
256,1951,4,437.419
257,1951,5,1012.233
258,1951,6,647.742
259,1951,7,357.645
260,1951,8,234.433
261,1951,9,497.323
262,1951,10,930.767
263,1951,11,708.516
264,1951,12,589.129
265,1952,1,703.448
266,1952,2,731.452
267,1952,3,1264.833
268,1952,4,1904.516
269,1952,5,1687.0
270,1952,6,1797.419
271,1952,7,1029.032
272,1952,8,634.367
273,1952,9,653.0
274,1952,10,658.222
275,1952,11,619.0
276,1952,12,665.581
277,1953,1,628.679
278,1953,2,932.968
279,1953,3,868.5
280,1953,4,1429.226
281,1953,5,1826.667
282,1953,6,1149.742
283,1953,7,451.581
284,1953,8,329.367
285,1953,9,587.194
286,1953,10,710.3
287,1953,11,884.161
288,1953,12,573.742
289,1954,1,526.857
290,1954,2,760.258
291,1954,3,1518.667
292,1954,4,1298.355
293,1954,5,1345.233
294,1954,6,1324.839
295,1954,7,1332.258
296,1954,8,833.7
297,1954,9,842.323
298,1954,10,815.467
299,1954,11,638.71
300,1954,12,645.903
301,1955,1,716.893
302,1955,2,732.903
303,1955,3,888.233
304,1955,4,823.516
305,1955,5,1590.667
306,1955,6,679.419
307,1955,7,365.419
308,1955,8,334.933
309,1955,9,510.903
310,1955,10,574.667
311,1955,11,568.871
312,1955,12,513.677
313,1956,1,655.31
314,1956,2,730.839
315,1956,3,915.3
316,1956,4,1199.677
317,1956,5,1113.133
318,1956,6,850.516
319,1956,7,386.484
320,1956,8,320.533
321,1956,9,454.742
322,1956,10,510.733
323,1956,11,487.806
324,1956,12,452.871
325,1957,1,579.964
326,1957,2,665.194
327,1957,3,617.3
328,1957,4,285.806
329,1957,5,366.6
330,1957,6,342.903
331,1957,7,270.032
332,1957,8,177.633
333,1957,9,297.71
334,1957,10,566.067
335,1957,11,558.71
336,1957,12,535.516
337,1958,1,533.321
338,1958,2,495.065
339,1958,3,1019.633
340,1958,4,1365.484
341,1958,5,1329.167
342,1958,6,1697.742
343,1958,7,686.323
344,1958,8,441.533
345,1958,9,545.161
346,1958,10,654.667
347,1958,11,714.226
348,1958,12,630.387
349,1959,1,758.929
350,1959,2,1004.355
351,1959,3,1404.167
352,1959,4,1386.226
353,1959,5,1339.633
354,1959,6,967.871
355,1959,7,571.806
356,1959,8,500.233
357,1959,9,608.774
358,1959,10,760.4
359,1959,11,519.903
360,1959,12,681.065
361,1960,1,806.034
362,1960,2,1035.419
363,1960,3,1081.9
364,1960,4,1740.323
365,1960,5,1775.333
366,1960,6,1496.968
367,1960,7,511.645
368,1960,8,575.867
369,1960,9,677.29
370,1960,10,700.433
371,1960,11,728.516
372,1960,12,643.968
373,1961,1,755.0
374,1961,2,670.065
375,1961,3,576.567
376,1961,4,541.452
377,1961,5,499.233
378,1961,6,161.613
379,1961,7,148.065
380,1961,8,140.433
381,1961,9,241.484
382,1961,10,325.767
383,1961,11,369.097
384,1961,12,280.452
385,1962,1,399.857
386,1962,2,345.355
387,1962,3,199.8
388,1962,4,394.548
389,1962,5,341.667
390,1962,6,312.548
391,1962,7,232.935
392,1962,8,181.7
393,1962,9,263.29
394,1962,10,329.667
395,1962,11,239.419
396,1962,12,321.097
397,1963,1,436.036
398,1963,2,460.677
399,1963,3,439.967
400,1963,4,1128.129
401,1963,5,1055.4
402,1963,6,676.871
403,1963,7,472.097
404,1963,8,325.8
405,1963,9,362.774
406,1963,10,460.333
407,1963,11,614.032
408,1963,12,414.71
409,1964,1,499.621
410,1964,2,614.29
411,1964,3,1167.5
412,1964,4,1282.29
413,1964,5,770.267
414,1964,6,675.323
415,1964,7,559.871
416,1964,8,525.667
417,1964,9,592.194
418,1964,10,693.933
419,1964,11,479.097
420,1964,12,393.226
421,1965,1,391.429
422,1965,2,448.935
423,1965,3,240.233
424,1965,4,244.839
425,1965,5,236.0
426,1965,6,181.645
427,1965,7,126.581
428,1965,8,80.427
429,1965,9,93.981
430,1965,10,166.747
431,1965,11,359.0
432,1965,12,260.774
433,1966,1,170.536
434,1966,2,182.903
435,1966,3,628.733
436,1966,4,876.387
437,1966,5,886.267
438,1966,6,887.323
439,1966,7,703.774
440,1966,8,368.833
441,1966,9,355.065
442,1966,10,373.8
443,1966,11,417.387
444,1966,12,351.742
445,1967,1,426.036
446,1967,2,540.387
447,1967,3,696.367
448,1967,4,824.71
449,1967,5,613.4
450,1967,6,654.774
451,1967,7,522.839
452,1967,8,166.2
453,1967,9,121.774
454,1967,10,142.2
455,1967,11,222.355
456,1967,12,165.806
457,1968,1,194.655
458,1968,2,330.129
459,1968,3,331.233
460,1968,4,783.419
461,1968,5,796.2
462,1968,6,698.968
463,1968,7,625.387
464,1968,8,433.133
465,1968,9,272.806
466,1968,10,287.2
467,1968,11,342.613
468,1968,12,369.677
469,1969,1,558.214
470,1969,2,698.677
471,1969,3,1387.833
472,1969,4,1288.065
473,1969,5,1134.333
474,1969,6,1159.355
475,1969,7,922.258
476,1969,8,655.433
477,1969,9,844.806
478,1969,10,561.2
479,1969,11,499.323
480,1969,12,368.742
481,1970,1,487.107
482,1970,2,370.387
483,1970,3,509.8
484,1970,4,725.032
485,1970,5,790.933
486,1970,6,712.194
487,1970,7,611.0
488,1970,8,324.2
489,1970,9,302.516
490,1970,10,317.767
491,1970,11,350.903
492,1970,12,353.452
493,1971,1,601.107
494,1971,2,455.806
495,1971,3,465.4
496,1971,4,741.581
497,1971,5,614.767
498,1971,6,589.613
499,1971,7,577.71
500,1971,8,360.733
501,1971,9,139.323
502,1971,10,110.4
503,1971,11,105.71
504,1971,12,77.087
505,1972,1,122.662
506,1972,2,250.742
507,1972,3,753.167
508,1972,4,832.419
509,1972,5,792.633
510,1972,6,707.968
511,1972,7,650.548
512,1972,8,348.267
513,1972,9,221.806
514,1972,10,247.767
515,1972,11,306.29
516,1972,12,282.065
517,1973,1,250.643
518,1973,2,312.129
519,1973,3,792.867
520,1973,4,1007.968
521,1973,5,848.633
522,1973,6,807.161
523,1973,7,699.097
524,1973,8,389.7
525,1973,9,251.065
526,1973,10,219.7
527,1973,11,199.968
528,1973,12,127.781
529,1974,1,139.036
530,1974,2,169.774
531,1974,3,281.967
532,1974,4,627.032
533,1974,5,415.7
534,1974,6,265.161
535,1974,7,112.584
536,1974,8,70.94
537,1974,9,77.097
538,1974,10,58.29
539,1974,11,60.332
540,1974,12,90.619
541,1975,1,85.596
542,1975,2,117.116
543,1975,3,168.64
544,1975,4,323.839
545,1975,5,182.067
546,1975,6,163.871
547,1975,7,100.442
548,1975,8,53.463
549,1975,9,54.758
550,1975,10,54.027
551,1975,11,69.194
552,1975,12,65.255
553,1976,1,55.328
554,1976,2,48.368
555,1976,3,131.683
556,1976,4,441.387
557,1976,5,332.467
558,1976,6,298.935
559,1976,7,190.203
560,1976,8,62.973
561,1976,9,49.977
562,1976,10,55.997
563,1976,11,47.868
564,1976,12,57.274
565,1977,1,55.282
566,1977,2,133.565
567,1977,3,223.713
568,1977,4,389.484
569,1977,5,323.267
570,1977,6,281.065
571,1977,7,91.584
572,1977,8,59.563
573,1977,9,65.677
574,1977,10,56.107
575,1977,11,85.316
576,1977,12,62.368
577,1978,1,57.168
578,1978,2,98.5
579,1978,3,269.333
580,1978,4,519.903
581,1978,5,485.767
582,1978,6,334.065
583,1978,7,252.677
584,1978,8,108.367
585,1978,9,98.752
586,1978,10,104.417
587,1978,11,102.284
588,1978,12,98.845
589,1979,1,176.482
590,1979,2,162.774
591,1979,3,439.067
592,1979,4,909.387
593,1979,5,623.267
594,1979,6,589.71
595,1979,7,380.194
596,1979,8,184.4
597,1979,9,137.129
598,1979,10,192.967
599,1979,11,280.968
600,1979,12,184.516
601,1980,1,136.103
602,1980,2,304.677
603,1980,3,391.6
604,1980,4,573.129
605,1980,5,479.467
606,1980,6,439.355
607,1980,7,312.0
608,1980,8,144.367
609,1980,9,127.935
610,1980,10,118.133
611,1980,11,118.581
612,1980,12,95.377
613,1981,1,99.989
614,1981,2,112.871
615,1981,3,323.733
616,1981,4,648.032
617,1981,5,639.5
618,1981,6,469.387
619,1981,7,322.645
620,1981,8,165.467
621,1981,9,124.387
622,1981,10,121.567
623,1981,11,119.419
624,1981,12,124.219
625,1982,1,129.196
626,1982,2,237.774
627,1982,3,208.5
628,1982,4,555.742
629,1982,5,507.7
630,1982,6,451.29
631,1982,7,234.258
632,1982,8,125.233
633,1982,9,89.287
634,1982,10,76.313
635,1982,11,66.968
636,1982,12,103.994
637,1983,1,97.271
638,1983,2,77.261
639,1983,3,140.113
640,1983,4,461.484
641,1983,5,428.333
642,1983,6,380.194
643,1983,7,213.794
644,1983,8,83.747
645,1983,9,69.11
646,1983,10,70.933
647,1983,11,66.584
648,1983,12,82.871
649,1984,1,69.141
650,1984,2,98.635
651,1984,3,187.377
652,1984,4,494.161
653,1984,5,445.367
654,1984,6,382.452
655,1984,7,179.3
656,1984,8,74.16
657,1984,9,54.794
658,1984,10,57.09
659,1984,11,68.674
660,1984,12,77.303
661,1985,1,116.132
662,1985,2,130.065
663,1985,3,233.133
664,1985,4,515.516
665,1985,5,440.9
666,1985,6,394.097
667,1985,7,184.797
668,1985,8,94.817
669,1985,9,62.394
670,1985,10,61.83
671,1985,11,60.161
672,1985,12,63.955
673,1986,1,62.079
674,1986,2,54.755
675,1986,3,134.247
676,1986,4,459.71
677,1986,5,449.233
678,1986,6,321.452
679,1986,7,139.152
680,1986,8,55.54
681,1986,9,61.7
682,1986,10,59.157
683,1986,11,54.252
